author,paper_count,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,community,importance_score
Samuel R. Bowman,4,57,74,0.413,0.0611,0.4862,0.2432,2,0.9669
Carson Denison,4,60,80,0.4348,0.0163,0.4922,0.2569,2,0.9532
Ethan Perez,5,51,64,0.3696,0.1415,0.4748,0.154,2,0.9522
Akbir Khan,3,52,61,0.3768,0.0557,0.4766,0.2054,3,0.9403
Fabien Roger,3,55,67,0.3986,0.0139,0.4823,0.2194,2,0.9309
Monte MacDiarmid,3,51,66,0.3696,0.0317,0.4748,0.2325,2,0.9245
Evan Hubinger,3,51,66,0.3696,0.0317,0.4748,0.2325,2,0.9245
Johannes Treutlein,2,46,53,0.3333,0.0364,0.4656,0.1936,3,0.8939
Tim Belonax,2,46,53,0.3333,0.0364,0.4656,0.1936,3,0.8939
Jan Leike,2,46,48,0.3333,0.0434,0.4656,0.1565,3,0.8935
Jonathan Uesato,3,35,39,0.2536,0.4309,0.5407,0.1001,2,0.8773
Samuel Marks,2,43,47,0.3116,0.0125,0.3828,0.1699,3,0.8755
Victoria Krakovna,4,53,69,0.3841,0.1082,0.4785,0.0098,0,0.8734
Rohin Shah,4,53,69,0.3841,0.1082,0.4785,0.0098,0,0.8734
Jared Kaplan,3,35,46,0.2536,0.005,0.4466,0.1402,2,0.8658
Lewis Ho,3,51,63,0.3696,0.0078,0.3654,0.0067,0,0.8054
David Lindner,3,51,63,0.3696,0.0078,0.3654,0.0067,0,0.8054
Allan Dafoe,3,51,63,0.3696,0.0078,0.3654,0.0067,0,0.8054
Anca Dragan,2,49,55,0.3551,0.0083,0.3632,0.0056,0,0.7849
Sebastian Farquhar,2,49,55,0.3551,0.0083,0.3632,0.0056,0,0.7849
Mary Phuong,3,31,40,0.2246,0.0471,0.4401,0.0072,0,0.7576
Vikrant Varma,2,33,35,0.2391,0.0796,0.4433,0.0063,0,0.7475
Ramana Kumar,2,29,32,0.2101,0.0615,0.4369,0.0061,0,0.7158
Buck Shlegeris,2,25,32,0.1812,0.0081,0.4307,0.1125,2,0.6712
David Duvenaud,2,25,32,0.1812,0.0081,0.4307,0.1125,2,0.6712
Kelley Rivoire,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Drake Thomas,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Kei Nishimura-Gasparian,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Meg Tong,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Andy Shih,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Adam Jermyn,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Tom Henighan,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Jeanne Salle,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Adam Pearce,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Trenton Bricken,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Jack Lindsey,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Jonathan Marcus,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Brian Chen,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Austin Meek,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Euan Ong,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Jan Kirchner,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Satvik Golechha,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Christopher Olah,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Florian Dietz,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Hoagy Cunningham,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Shan Carter,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Joshua Batson,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Daniel Ziegler,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Siddharth Mishra-Sharma,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Emmanuel Ameisen,1,34,34,0.2464,0.0002,0.361,0.1285,3,0.6381
Sarah Cogan,2,28,34,0.2029,0.0008,0.3416,0.004,0,0.5935
Linda Petrini,1,19,19,0.1377,0.0049,0.4216,0.0697,2,0.546
Ryan Greenblatt,1,19,19,0.1377,0.0049,0.4216,0.0697,2,0.546
Sam Marks,1,19,19,0.1377,0.0049,0.4216,0.0697,2,0.546
Jack Chen,1,19,19,0.1377,0.0049,0.4216,0.0697,2,0.546
Julian Michael,1,19,19,0.1377,0.0049,0.4216,0.0697,2,0.546
Sören Mindermann,1,19,19,0.1377,0.0049,0.4216,0.0697,2,0.546
Benjamin Wright,1,19,19,0.1377,0.0049,0.4216,0.0697,2,0.546
John Schulman,1,14,14,0.1014,0.0043,0.4144,0.0317,2,0.4928
Arushi Somani,1,14,14,0.1014,0.0043,0.4144,0.0317,2,0.4928
Yanda Chen,1,14,14,0.1014,0.0043,0.4144,0.0317,2,0.4928
Joe Benton,1,14,14,0.1014,0.0043,0.4144,0.0317,2,0.4928
Ansh Radhakrishnan,1,14,14,0.1014,0.0043,0.4144,0.0317,2,0.4928
Sam Bowman,1,14,14,0.1014,0.0043,0.4144,0.0317,2,0.4928
Vlad Mikulik,1,14,14,0.1014,0.0043,0.4144,0.0317,2,0.4928
Misha Wagner,1,14,14,0.1014,0.0043,0.4144,0.0317,2,0.4928
Peter Hase,1,14,14,0.1014,0.0043,0.4144,0.0317,2,0.4928
Shauna Kravec,1,13,13,0.0942,0.0007,0.3495,0.0455,2,0.4705
Alex Tamkin,1,13,13,0.0942,0.0007,0.3495,0.0455,2,0.4705
Ryan Soklaski,1,13,13,0.0942,0.0007,0.3495,0.0455,2,0.4705
Nicholas Schiefer,1,13,13,0.0942,0.0007,0.3495,0.0455,2,0.4705
Fazl Barez,1,13,13,0.0942,0.0007,0.3495,0.0455,2,0.4705
Samuel Albanie,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Tom Everitt,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Tobi Ijitoye,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Sophie Bridgers,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Senthooran Rajamanoharan,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Sébastien Krier,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Scott Emmons,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Anna Wang,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Rory Greig,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Raluca Ada Popa,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Neel Nanda,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Jonah Brown-Cohen,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Arthur Conmy,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Zachary Kenton,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Alexander Matt Turner,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Vladimir Mikulik,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Rishub Jain,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Dave Orr,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Four Flynn,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Shane Legg,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Alex Irpan,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Noah Goodman,1,29,29,0.2101,0.0001,0.3426,0.003,0,0.3957
Matthew Aitchison,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Sharon Lin,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Toby Shevlane,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Elliot Catt,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Seliem El-Sayed,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Anian Ruoss,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Gregoire Deletang,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Marcus Hutter,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Sasha Brown,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Albert Webson,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Sarah Hodkinson,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Maria Abi Raad,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Matthew Rahtz,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Yannis Assael,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Alexandre Kaskasoli,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Heidi Howard,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Tom Lieberum,1,26,26,0.1884,0.0001,0.3397,0.0028,0,0.3223
Joost Huizinga,1,8,8,0.058,0.0,0.058,0.3333,1,0.3205
David Farhi,1,8,8,0.058,0.0,0.058,0.3333,1,0.3205
Jakub Pachocki,1,8,8,0.058,0.0,0.058,0.3333,1,0.3205
Wojciech Zaremba,1,8,8,0.058,0.0,0.058,0.3333,1,0.3205
Aleksander Madry,1,8,8,0.058,0.0,0.058,0.3333,1,0.3205
Melody Y. Guan,1,8,8,0.058,0.0,0.058,0.3333,1,0.3205
Zehao Dou,1,8,8,0.058,0.0,0.058,0.3333,1,0.3205
Leo Gao,1,8,8,0.058,0.0,0.058,0.3333,1,0.3205
Bowen Baker,1,8,8,0.058,0.0,0.058,0.3333,1,0.3205
He He,1,8,8,0.058,0.0001,0.3445,0.017,2,0.2942
Minlie Huang,1,8,8,0.058,0.0001,0.3445,0.017,2,0.2942
Jacob Steinhardt,1,8,8,0.058,0.0001,0.3445,0.017,2,0.2942
Ruiqi Zhong,1,8,8,0.058,0.0001,0.3445,0.017,2,0.2942
Jiaxin Wen,1,8,8,0.058,0.0001,0.3445,0.017,2,0.2942
Shi Feng,1,8,8,0.058,0.0001,0.3445,0.017,2,0.2942
Stephen Casper,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Dylan Hadfield-Menell,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Asa Cooper Stickland,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Henry Sleight,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Vivek Hebbar,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Cindy Wu,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Aengus Lynch,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Phillip Guo,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Aidan Ewart,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Abhay Sheshadri,1,10,10,0.0725,0.0,0.3233,0.0049,4,0.2252
Ziyue Wang,1,8,8,0.058,0.0001,0.3233,0.0013,0,0.2007
Roland S. Zimmermann,1,8,8,0.058,0.0001,0.3233,0.0013,0,0.2007
Zac Kenton,1,6,6,0.0435,0.0,0.4033,0.0035,0,0.1673
